dim;finalTime;forest;initialForest;neighborhood;periodBurning;probability;simulations
50;100;252;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_8"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_9"
50;100;252;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_10"
50;100;250;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_11"
50;100;252;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_12"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_13"
50;100;252;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_14"
50;100;250;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_15"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_16"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_17"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_18"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_19"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_20"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_21"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_22"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_23"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_24"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_25"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_26"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_27"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_28"
50;100;252;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_29"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_30"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_31"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_32"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_33"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_34"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_35"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_36"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_37"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_38"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_39"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_40"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_41"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_42"
50;100;252;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_43"
50;100;252;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_44"
50;100;255;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_45"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_46"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_47"
50;100;254;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_48"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_49"
50;100;253;0.1;"moore";1;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_1_probability_0.9_execution_50"
50;100;254;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_1"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_2"
50;100;248;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_3"
50;100;248;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_4"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_5"
50;100;254;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_6"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_7"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_8"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_9"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_10"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_11"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_12"
50;100;254;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_13"
50;100;254;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_14"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_15"
50;100;254;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_16"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_17"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_18"
50;100;254;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_19"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_20"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_21"
50;100;254;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_22"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_23"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_24"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_25"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_26"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_27"
50;100;250;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_28"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_29"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_30"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_31"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_32"
50;100;253;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_33"
50;100;249;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_34"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_35"
50;100;252;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_36"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_37"
50;100;248;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_38"
50;100;248;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_39"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_40"
50;100;251;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_41"
50;100;250;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_42"
50;100;247;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_43"
50;100;248;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_44"
50;100;250;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_45"
50;100;249;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_46"
50;100;248;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_47"
50;100;248;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_48"
50;100;250;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_49"
50;100;250;0.1;"moore";2;1;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_1_execution_50"
50;100;246;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_1"
50;100;248;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_2"
50;100;245;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_3"
50;100;249;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_4"
50;100;247;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_5"
50;100;246;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_6"
50;100;248;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_7"
50;100;246;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_8"
50;100;245;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_9"
50;100;247;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_10"
50;100;247;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_11"
50;100;249;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_12"
50;100;248;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_13"
50;100;249;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_14"
50;100;248;0.1;"moore";2;0.9;"dim_50_initialForest_0.1_neighborhood_moore_periodBurning_2_probability_0.9_execution_15"
